code,variable,description,unit,layer,time_cell_method,cf_name
470,FLTMWAT,meantemperatureofthewatercolumn,[K],1,mean,
471,FLTMIX,mixed-layertemperature,[K],1,mean,
472,FLTWBSED,temperatureatthewater-bottomsedimentinterface,[K],1,mean,
473,FLTULSED,temperatureatthebottomoftheupperlayerofthesediments,[K],1,mean,
474,FLSHF,shapefactor(thermocline),,1,mean,
475,FLHSN,snowthickness,[m],1,mean,
476,FLHICE,icethickness,[m],1,mean,
477,FLHMIX,thicknessofthemixed-layer,[m],1,mean,
478,FLHULBS,thicknessoftheupperlayerofbottomsediments,[m],1,mean,
479,FLTSN,temperatureattheair-snowinterface,[K],1,mean,
480,FLTICE,temperatureatthesnow-iceorair-iceinterface,[K],1,mean,
481,QDBFL,surfacespecifichumidityoverlakefraction,[kg/kg],1,mean,
482,TSFLECH,surfacetemperatureoverlakes,[K],1,mean,
483,BFLHSFL,surfacesensibleheatfluxonlakefraction(PROGEXP),[W/m²],1,mean,
484,AHFSFL,surfacesensibleheatfluxonlakefraction(VDIFF),[W/m²],1,mean,
485,BFLQDSFL,surfacelatentheatfluxonlakefraction(PROGEXP),[W/m²],1,mean,
486,AHFLFL,surfacelatentheatfluxonlakefraction(VDIFF),[W/m²],1,mean,
487,AZ0FL,surfaceroughnesslengthoflakefraction,[m],1,mean,
488,ALSOFL,surfacealbedooflakefraction,,1,mean,
489,USTRFL,surfaceu-stressoverlakefraction,[Pa],1,mean,
490,VSTRFL,surfacev-stressoverlakefraction,[Pa],1,mean,
491,EVAPFL,surfaceevaporationonlakefraction,[mm],1,mean,
492,TMCHFL,turbulenttransfercoefficientofheatatthesurfaceonlakefraction,,1,mean,
493,FLFRA,lakefraction,,,,
494,FLADE,lakedepth,[m],,,
495,EMTERFL,effectiveemissivityoflakes,,,,
