ak,bk
0.000000,0.000000
6854.550634,0.000000
11865.027969,0.000000
16314.666854,0.000000
20414.349627,0.000000
24257.109460,0.000000
27895.096509,0.000000
31361.484949,0.000000
34679.123491,0.000000
37864.634608,0.000000
40288.713263,0.006335
38238.320230,0.055747
36261.552474,0.103426
34353.793035,0.149483
32511.226705,0.194005
30730.662610,0.237069
29009.406185,0.278738
27345.164642,0.319065
25735.975764,0.358098
24180.153390,0.395875
22676.245087,0.432430
21222.998905,0.467794
19819.337030,0.501992
18464.334778,0.535044
17157.203779,0.566971
15897.278525,0.597787
14684.005664,0.627505
13516.935580,0.656137
12395.715946,0.683690
11320.086993,0.710170
10289.878355,0.735582
9305.007414,0.759927
8365.479114,0.783206
7471.387319,0.805416
6622.917834,0.826552
5820.353339,0.846609
5064.080596,0.865576
4354.600486,0.883443
3692.541683,0.900194
3078.679231,0.915812
2513.959891,0.930273
1999.537299,0.943551
1536.821901,0.955613
1127.554297,0.966417
773.918079,0.975912
478.724661,0.984033
245.744355,0.990690
80.385371,0.995756
0.000000,0.999025
0.000000,1.000000
